Site,Tree,Stage,RipeningStage ,LD65,aD65,bD65,400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm
DEGUEDO,A3C3,5,P,23.65,0.41,-0.36,4.26,4.19,4.12,4.1,4.08,4.05,4.05,4.03,4.02,4.01,3.99,4,3.99,3.99,3.98,3.98,3.97,3.97,3.98,3.99,3.98,3.99,4,4.01,4.05,4.11,4.2,4.38,4.74,5.77,7.95
DEGUEDO,A3C3,5,P,23.48,0.71,-0.4,4.23,4.15,4.1,4.05,4.03,4.01,4.01,3.97,3.99,3.95,3.94,3.93,3.95,3.93,3.92,3.91,3.91,3.91,3.91,3.92,3.91,3.9,3.91,3.93,3.99,4.2,4.6,5.24,6.32,8.75,12.64
DEGUEDO,A3C3,5,P,23.84,1.73,-0.11,4.26,4.19,4.14,4.1,4.09,4.07,4.07,4.04,4.05,4.02,4.01,4,4,3.99,3.98,3.98,3.98,3.97,3.98,3.99,4,4.01,4.08,4.24,4.66,5.38,6.18,6.72,7.81,11.16,16.01
DEGUEDO,A3C3,5,P,23.34,0.65,-0.37,4.18,4.09,4.03,4,3.98,3.97,3.96,3.93,3.93,3.91,3.89,3.89,3.89,3.89,3.88,3.87,3.87,3.86,3.88,3.89,3.89,3.89,3.91,3.92,3.96,4.07,4.31,4.76,5.66,7.55,10.73
DEGUEDO,A3C3,5,P,24.17,1.51,0.14,4.29,4.22,4.17,4.15,4.14,4.13,4.12,4.1,4.1,4.1,4.1,4.09,4.09,4.09,4.09,4.08,4.09,4.08,4.1,4.12,4.13,4.16,4.22,4.34,4.65,5.22,5.84,6.24,7.22,10.81,16.73
DEGUEDO,A3C3,5,P,24.15,3.23,0.26,4.3,4.23,4.17,4.14,4.12,4.11,4.09,4.06,4.07,4.04,4.04,4.02,4.03,4.02,4.01,4,4,4,4.01,4.03,4.06,4.12,4.32,4.74,5.59,6.86,8.03,8.61,10.13,14.95,21.48
DEGUEDO,A3C3,5,P,23.7,0.67,-0.29,4.26,4.19,4.13,4.09,4.08,4.06,4.06,4.03,4.03,4,4,4,4,3.99,3.98,3.98,3.97,3.98,3.99,4,4,4,4.02,4.06,4.13,4.28,4.54,4.92,5.57,7,9.48
DEGUEDO,A3C3,5,P,23.89,0.45,-0.18,4.28,4.22,4.15,4.12,4.11,4.1,4.1,4.07,4.07,4.06,4.05,4.05,4.06,4.06,4.05,4.04,4.04,4.05,4.06,4.07,4.07,4.07,4.08,4.1,4.14,4.2,4.32,4.52,4.94,6.11,8.57
DEGUEDO,A3C3,5,P,23.63,0.53,-0.28,4.23,4.16,4.1,4.06,4.05,4.04,4.03,4.01,4.01,3.99,3.98,3.98,3.98,3.98,3.97,3.97,3.96,3.96,3.96,3.98,3.97,3.97,3.99,4,4.06,4.19,4.43,4.8,5.45,6.85,9.28
DEGUEDO,A3C2,1,G,45.2,-12.24,26.89,4.73,4.92,5.19,5.45,5.66,5.9,6.08,6.16,6.2,6.39,7.21,9.13,12.67,16.25,18.47,19.45,19.12,17.42,15.48,14.32,13.75,12.78,11.68,11.29,10.51,9.17,8.12,7.1,7.49,11.55,23.18
